Project ID,Project Name,Vintage,Credit Serial Numbers,Quantity of Credits,Status Effective,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,ARB Eligible,CORSIA Qualified,Sustainable Development Goal(s),Date Issued,Account Holder,Cancellation Type,Cancellation Details,Cancellation Year,Transitioned to ARB or Canceled,Issuance Year,ARB Project,ACR Cancellation Data,Updated 11-1-23,Total Credits Canceled:,158905394,Unnamed: 26,The American Carbon Registry
ACR103,Inland Empire Anaerobic Ag Digester,2003,ACR-US-103-2003-265-119244246 to 119245745,1500,,Anaerobic Digestion,Version 1.0,,CALIFORNIA,,No,No,,2005-01-01 00:00:00,Inland Empire Utilities Agency,Removal of credits from the registry,,,Canceled,2005,No,,,,,,
ACR103,Inland Empire Anaerobic Ag Digester,2003,ACR-US-103-2003-265-119248246 to 119252268,4023,,Anaerobic Digestion,Version 1.0,,CALIFORNIA,,No,No,,2005-01-01 00:00:00,Inland Empire Utilities Agency,Removal of credits from the registry,,,Canceled,2005,No,,,,,,
ACR103,Inland Empire Anaerobic Ag Digester,2003,ACR-US-103-2003-266-137419790 to 137419838,49,,Anaerobic Digestion,Version 1.0,,CALIFORNIA,,No,No,,2006-03-17 00:00:00,Inland Empire Utilities Agency,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR103,Inland Empire Anaerobic Ag Digester,2004,ACR-US-103-2004-267-120145048 to 120150863,5816,,Anaerobic Digestion,Version 1.0,,CALIFORNIA,,No,No,,2005-01-01 00:00:00,Inland Empire Utilities Agency,Removal of credits from the registry,,,Canceled,2005,No,,,,,,
ACR103,Inland Empire Anaerobic Ag Digester,2005,ACR-US-103-2005-269-143509660 to 143513837,4178,,Anaerobic Digestion,Version 1.0,,CALIFORNIA,,No,No,,2006-12-11 00:00:00,Inland Empire Utilities Agency,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR105,Boa Vista A/R,2011,ACR-BR-105-2011-306-156 to 200,45,2017-11-01,Forest Carbon,Version 5.2.0,Boa Vista,Roraima,BR,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2012-08-22 17:51:00,F.I.T Timber Ltd,Removal of credits from the registry,,2017.0,Canceled,2012,No,,,,,,
ACR105,Boa Vista A/R,2011,ACR-BR-105-2011-306-701 to 2572210,2571510,2017-11-01,Forest Carbon,Version 5.2.0,Boa Vista,Roraima,BR,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2012-08-22 17:51:00,F.I.T Timber Ltd,Removal of credits from the registry,,2017.0,Canceled,2012,No,,,,,,
ACR105,Boa Vista A/R,2011,ACR-BR-105-2011-307-1 to 1102376,1102376,2017-11-01,Forest Carbon,Version 5.2.0,Boa Vista,Roraima,BR,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2012-08-22 17:51:00,The American Carbon Registry,Removal of credits from the registry,,2017.0,Canceled,2012,No,,,,,,
ACR107,Camargo Fuel Substitution,2005,ACR-BO-107-2005-177-205354668 to 205354856,189,,Fuel switching from coal and/or petroleum fuels to natural gas in existing Power Plant for electricity generation,Version 1.0,,Nor Ciniti,,No,No,,2008-07-23 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR107,Camargo Fuel Substitution,2006,ACR-BO-107-2006-178-205354857 to 205355041,185,,Fuel switching from coal and/or petroleum fuels to natural gas in existing Power Plant for electricity generation,Version 1.0,,Nor Ciniti,,No,No,,2008-07-23 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR107,Camargo Fuel Substitution,2006,ACR-BO-107-2006-178-205355042 to 205355208,167,,Fuel switching from coal and/or petroleum fuels to natural gas in existing Power Plant for electricity generation,Version 1.0,,Nor Ciniti,,No,No,,2008-07-23 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR107,Camargo Fuel Substitution,2007,ACR-BO-107-2007-179-205355209 to 205355480,272,,Fuel switching from coal and/or petroleum fuels to natural gas in existing Power Plant for electricity generation,Version 1.0,,Nor Ciniti,,No,No,,2008-07-23 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR107,Camargo Fuel Substitution,2007,ACR-BO-107-2007-179-205355481 to 205355550,70,,Fuel switching from coal and/or petroleum fuels to natural gas in existing Power Plant for electricity generation,Version 1.0,,Nor Ciniti,,No,No,,2008-07-23 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR107,Camargo Fuel Substitution,2008,ACR-BO-107-2008-180-205355551 to 205355678,128,,Fuel switching from coal and/or petroleum fuels to natural gas in existing Power Plant for electricity generation,Version 1.0,,Nor Ciniti,,No,No,,2008-07-23 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR113,Greater New Bedford LFG,2003,ACR-US-113-2003-149-201253346 to 201253442,97,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,MASSACHUSETTS,,No,No,,2007-12-20 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR113,Greater New Bedford LFG,2003,ACR-US-113-2003-149-201255805 to 201256459,655,2017-11-01,Landfill Gas Capture & Combustion,Version 1.0,Dartmouth,MASSACHUSETTS,US,No,No,,2007-12-20 00:00:00,The American Carbon Registry,Compensation for Early Project Termination,,2017.0,Canceled,2007,No,,,,,,
ACR113,Greater New Bedford LFG,2004,ACR-US-113-2004-150-201449263 to 201484420,35158,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,MASSACHUSETTS,,No,No,,2007-12-20 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR113,Greater New Bedford LFG,2005,ACR-US-113-2005-151-120115839 to 120139838,24000,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,MASSACHUSETTS,,No,No,,2006-01-06 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR113,Greater New Bedford LFG,2005,ACR-US-113-2005-151-120139839 to 120143838,4000,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,MASSACHUSETTS,,No,No,,2006-01-06 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR113,Greater New Bedford LFG,2006,ACR-US-113-2006-153-193313284 to 193433279,119996,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,MASSACHUSETTS,,No,No,,2007-06-28 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
