Date Issued,Project ID,Project Name,Project Developer,Project Type,Protocol Version,ARB Eligible,CORSIA Qualified,Vintage,"Issuance 
Year",Total Credits Issued,Credits Issued to Project,Credits Issued to Buffer Pool,Credits Transferred to Buffer Pool,Project Site Location,Project Site State,Project Site Country,Methodology /Protocol Version,Verified Removal,Additional Certifications/SDGs,Verifier,Project Website,ACR Issuance Data,Updated 11-1-23,Total Credits Issued: ,233479712
2002-12-11,ACR167,Nitrogen Oxide Abatement at the DuPont Sabine River Works Adipic Acid Facility,DuPont,Industrial Process Emissions,Version 1.0,No,No,2001,2002,125000,125000,0,0,"Orange, TX",TEXAS,US,Nitrous Oxide Abatement Protocol,,,ICF International,,,,,
2004-06-13,ACR163,Des Plaines LFG to Energy,Sexton Energy,Landfill Gas Capture & Combustion,Version 1.0,No,No,2003,2004,500,500,0,0,"Cook County, IL",ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2005-01-01,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2004,2005,5825,5825,0,0,Chino,CALIFORNIA,US,Anaerobic Digestion,,,ERT,,,,,
2005-01-01,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2003,2005,8023,8023,0,0,Chino,CALIFORNIA,US,Anaerobic Digestion,,,ERT,,,,,
2005-02-28,ACR163,Des Plaines LFG to Energy,Sexton Energy,Landfill Gas Capture & Combustion,Version 1.0,No,No,2005,2005,1000,1000,0,0,"Cook County, IL",ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2005-07-04,ACR162,International Paper,Blue Source,Energy Efficiency,Version 1.0,No,No,2004,2005,164750,164750,0,0,"Bucksport, ME",MAINE,US,"Monitoring, Reporting and Verification Protocol for Cogeneration",,,ERT,,,,,
2005-07-04,ACR162,International Paper,Blue Source,Energy Efficiency,Version 1.0,No,No,2003,2005,135250,135250,0,0,"Bucksport, ME",MAINE,US,"Monitoring, Reporting and Verification Protocol for Cogeneration",,,ERT,,,,,
2005-10-31,ACR102,Air Bag Gas Substitution,Nike,Industrial Gas Substitution,Version 1.0,No,No,2003,2005,1898000,1898000,0,0,Beaverton,OREGON,US,Emission reductions through industrial gas substitution,,,ERT,,,,,
2005-12-21,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2004,2005,131433,131433,0,0,Bethlehem,NEW HAMPSHIRE,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2005-12-21,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2003,2005,121401,121401,0,0,Bethlehem,NEW HAMPSHIRE,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2005-12-21,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2002,2005,110796,110796,0,0,Bethlehem,NEW HAMPSHIRE,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2005-12-21,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2001,2005,114478,114478,0,0,Bethlehem,NEW HAMPSHIRE,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2005-12-21,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2000,2005,114507,114507,0,0,Bethlehem,NEW HAMPSHIRE,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2005-12-21,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,1999,2005,74895,74895,0,0,Bethlehem,NEW HAMPSHIRE,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2006-01-06,ACR113,Greater New Bedford LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2005,2006,29269,29269,0,0,Dartmouth,MASSACHUSETTS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2006-01-06,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2005,2006,147174,147174,0,0,Bethlehem,NEW HAMPSHIRE,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2006-01-06,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,1998,2006,48826,48826,0,0,Bethlehem,NEW HAMPSHIRE,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2006-03-13,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2004,2006,799073,799073,0,0,LaBarge,WYOMING,US,Emission Reductions from Enhanced Oil Recovery,,,URS,,,,,
2006-03-13,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2003,2006,1038287,1038287,0,0,LaBarge,WYOMING,US,Emission Reductions from Enhanced Oil Recovery,,,URS,,,,,
2006-03-13,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2002,2006,736816,736816,0,0,LaBarge,WYOMING,US,Emission Reductions from Enhanced Oil Recovery,,,URS,,,,,
2006-03-13,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2001,2006,718342,718342,0,0,LaBarge,WYOMING,US,Emission Reductions from Enhanced Oil Recovery,,,URS,,,,,
2006-03-13,ACR117,Merit Energy Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2000,2006,991518,991518,0,0,LaBarge,WYOMING,US,Emission Reductions from Enhanced Oil Recovery,,,URS,,,,,
2006-03-13,ACR120,Petrosource Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2003,2006,284527,284527,0,0,Crocket County,TEXAS,US,Emission Reductions from Enhanced Oil Recovery,,,URS,,,,,
2006-03-13,ACR162,International Paper,Blue Source,Energy Efficiency,Version 1.0,No,No,2005,2006,139035,139035,0,0,"Bucksport, ME",MAINE,US,"Monitoring, Reporting and Verification Protocol for Cogeneration",,,URS,,,,,
2006-03-17,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2004,2006,23,23,0,0,Chino,CALIFORNIA,US,Anaerobic Digestion,,,ERT,,,,,
2006-03-17,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2003,2006,49,49,0,0,Chino,CALIFORNIA,US,Anaerobic Digestion,,,ERT,,,,,
2006-07-18,ACR163,Des Plaines LFG to Energy,Sexton Energy,Landfill Gas Capture & Combustion,Version 1.0,No,No,2005,2006,2266,2266,0,0,"Cook County, IL",ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2006-07-18,ACR163,Des Plaines LFG to Energy,Sexton Energy,Landfill Gas Capture & Combustion,Version 1.0,No,No,2003,2006,1526,1526,0,0,"Cook County, IL",ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2006-08-02,ACR102,Air Bag Gas Substitution,Nike,Industrial Gas Substitution,Version 1.0,No,No,2005,2006,3081011,3081011,0,0,Beaverton,OREGON,US,Emission reductions through industrial gas substitution,,,ERT,,,,,
2006-08-02,ACR102,Air Bag Gas Substitution,Nike,Industrial Gas Substitution,Version 1.0,No,No,2004,2006,3004613,3004613,0,0,Beaverton,OREGON,US,Emission reductions through industrial gas substitution,,,ERT,,,,,
2006-08-02,ACR102,Air Bag Gas Substitution,Nike,Industrial Gas Substitution,Version 1.0,No,No,2003,2006,382,382,0,0,Beaverton,OREGON,US,Emission reductions through industrial gas substitution,,,ERT,,,,,
2006-12-11,ACR103,Inland Empire Anaerobic Ag Digester,Inland Empire Utilities Agency,Livestock Waste Management,Version 1.0,No,No,2005,2006,4409,4409,0,0,Chino,CALIFORNIA,US,Anaerobic Digestion,,,ERT,,,,,
2007-01-30,ACR120,Petrosource Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,84000,84000,0,0,Crocket County,TEXAS,US,Emission Reductions from Enhanced Oil Recovery,,,Battelle,,,,,
2007-01-30,ACR120,Petrosource Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,88631,88631,0,0,Crocket County,TEXAS,US,Emission Reductions from Enhanced Oil Recovery,,,Battelle,,,,,
2007-01-30,ACR120,Petrosource Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2005,2007,719748,719748,0,0,Crocket County,TEXAS,US,Emission Reductions from Enhanced Oil Recovery,,,Battelle,,,,,
2007-01-30,ACR120,Petrosource Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2004,2007,331,331,0,0,Crocket County,TEXAS,US,Emission Reductions from Enhanced Oil Recovery,,,Battelle,,,,,
2007-01-30,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,290791,290791,0,0,Pecos County,TEXAS,US,Emission Reductions from Enhanced Oil Recovery,,,Battelle,,,,,
2007-01-30,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,297904,297904,0,0,Pecos County,TEXAS,US,Emission Reductions from Enhanced Oil Recovery,,,Battelle,,,,,
2007-01-30,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2005,2007,587212,587212,0,0,Pecos County,TEXAS,US,Emission Reductions from Enhanced Oil Recovery,,,Battelle,,,,,
2007-01-30,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2004,2007,416283,416283,0,0,Pecos County,TEXAS,US,Emission Reductions from Enhanced Oil Recovery,,,Battelle,,,,,
2007-01-30,ACR121,Pike's Peak Geo-Seq,Blue Source,Carbon Capture & Storage (CCS),Version 1.0,No,No,2004,2007,67053,67053,0,0,Pecos County,TEXAS,US,Emission Reductions from Enhanced Oil Recovery,,,Battelle,,,,,
2007-03-28,ACR118,Monell Geo-Seq,Anadarko,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,364909,364909,0,0,Sweetwater County,WYOMING,US,Emission Reductions from Enhanced Oil Recovery,,,ICF International,,,,,
2007-03-29,ACR123,Salt Creek Geo-Seq,Anadarko,Carbon Capture & Storage (CCS),Version 1.0,No,No,2006,2007,736344,736344,0,0,"Salt Creek Field, Natrona Co.",WYOMING,US,Emission Reductions from Enhanced Oil Recovery,,,ICF International,,,,,
2007-04-10,ACR163,Des Plaines LFG to Energy,Sexton Energy,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,26846,26846,0,0,"Cook County, IL",ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,"Landfills +, Inc.",,,,,
2007-05-22,ACR129,Tecnosol Solar Electrification,E+Co,Renewable Energy,Version 1.0,No,No,2006,2007,1586,1586,0,0,Nicaragua,,NI,Electricity generation by the user,,,ERT,,,,,
2007-05-22,ACR129,Tecnosol Solar Electrification,E+Co,Renewable Energy,Version 1.0,No,No,2005,2007,473,473,0,0,Nicaragua,,NI,Electricity generation by the user,,,ERT,,,,,
2007-06-28,ACR113,Greater New Bedford LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,119996,119996,0,0,Dartmouth,MASSACHUSETTS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,"First Environment, Inc.",,,,,
2007-06-29,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,172771,172771,0,0,Bethlehem,NEW HAMPSHIRE,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,"First Environment, Inc.",,,,,
2007-08-30,ACR106,Brickyard LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,43162,43162,0,0,Danville,ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2007-08-30,ACR106,Brickyard LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,95330,95330,0,0,Danville,ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2007-08-30,ACR110,Chicago LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,18630,18630,0,0,Chicago,ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2007-08-30,ACR110,Chicago LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,43632,43632,0,0,Chicago,ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2007-08-30,ACR112,Dolton LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,54567,54567,0,0,Dolton,ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2007-08-30,ACR112,Dolton LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,104769,104769,0,0,Dolton,ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2007-08-30,ACR122,Romeoville LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,17005,17005,0,0,Romeoville,ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2007-08-30,ACR122,Romeoville LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,35491,35491,0,0,Romeoville,ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2007-08-30,ACR128,Streator LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,14454,14454,0,0,Streator,ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2007-08-30,ACR128,Streator LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,32696,32696,0,0,Streator,ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2007-08-30,ACR161,Upper Rock LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,54966,54966,0,0,East Moline,ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2007-08-30,ACR161,Upper Rock LFG to Energy,Biogas Energy Solutions,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,129666,129666,0,0,East Moline,ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,ERT,,,,,
2007-10-18,ACR113,Greater New Bedford LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,61157,61157,0,0,Dartmouth,MASSACHUSETTS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,"First Environment, Inc.",,,,,
2007-10-18,ACR119,North Country LFG,Commonwealth Resource Management Corporation,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,83395,83395,0,0,Bethlehem,NEW HAMPSHIRE,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,"First Environment, Inc.",,,,,
2007-10-18,ACR129,Tecnosol Solar Electrification,E+Co,Renewable Energy,Version 1.0,No,No,2007,2007,1854,1854,0,0,Nicaragua,,NI,Electricity generation by the user,,,ERT,,,,,
2007-11-15,ACR163,Des Plaines LFG to Energy,Sexton Energy,Landfill Gas Capture & Combustion,Version 1.0,No,No,2007,2007,49419,49419,0,0,"Cook County, IL",ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,"Landfills +, Inc.",,,,,
2007-11-15,ACR163,Des Plaines LFG to Energy,Sexton Energy,Landfill Gas Capture & Combustion,Version 1.0,No,No,2006,2007,34318,34318,0,0,"Cook County, IL",ILLINOIS,US,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,"Landfills +, Inc.",,,,,
2007-12-17,ACR130,"Truck Stop Electrification, Alabama",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2007,2007,571,571,0,0,Alabama,ALABAMA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR130,"Truck Stop Electrification, Alabama",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2006,2007,869,869,0,0,Alabama,ALABAMA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR130,"Truck Stop Electrification, Alabama",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2005,2007,793,793,0,0,Alabama,ALABAMA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR130,"Truck Stop Electrification, Alabama",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2004,2007,535,535,0,0,Alabama,ALABAMA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR131,"Truck Stop Electrification, Arizona",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2007,2007,1663,1663,0,0,Arizona,ARIZONA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR131,"Truck Stop Electrification, Arizona",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2006,2007,615,615,0,0,Arizona,ARIZONA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR132,"Truck Stop Electrification, Arkansas",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2007,2007,2764,2764,0,0,Arkansas,ARKANSAS,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR132,"Truck Stop Electrification, Arkansas",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2006,2007,3064,3064,0,0,Arkansas,ARKANSAS,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR132,"Truck Stop Electrification, Arkansas",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2005,2007,1713,1713,0,0,Arkansas,ARKANSAS,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR132,"Truck Stop Electrification, Arkansas",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2004,2007,1374,1374,0,0,Arkansas,ARKANSAS,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR132,"Truck Stop Electrification, Arkansas",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2003,2007,958,958,0,0,Arkansas,ARKANSAS,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR133,"Truck Stop Electrification, California",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2007,2007,6434,6434,0,0,California,CALIFORNIA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR133,"Truck Stop Electrification, California",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2006,2007,5941,5941,0,0,California,CALIFORNIA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR133,"Truck Stop Electrification, California",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2005,2007,1315,1315,0,0,California,CALIFORNIA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR134,"Truck Stop Electrification, Colorado",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2007,2007,757,757,0,0,Colorado,COLORADO,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR135,"Truck Stop Electrification, Florida",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2007,2007,856,856,0,0,Florida,FLORIDA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR135,"Truck Stop Electrification, Florida",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2006,2007,261,261,0,0,Florida,FLORIDA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR136,"Truck Stop Electrification, Georgia",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2007,2007,2199,2199,0,0,Georgia,GEORGIA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
2007-12-17,ACR136,"Truck Stop Electrification, Georgia",IdleAir,Transport / Fleet Efficiency,Version 1.0,No,No,2006,2007,3364,3364,0,0,Georgia,GEORGIA,US,Emissions Reductions though Anti-Idling Technologies,,,ERT,,,,,
