Project ID,Project Name,ARB ID,Project Developer,Verifier,Project Type,Voluntary Status,ARB Status,Project Site Location,Project Site State,Project Site Country,Additional Certifications/SDGs,Total Number of Credits Registered ,Methodology / Protocol,Project Notes,Project Website,ACR Source Data,Updated 11-1-23,Total Projects:,684
ACR101,AFOVERT Energy,,Katene Kadji,,Fuel Switching,Canceled,Not ARB Eligible,Niono,Niono District,ML,06: Clean Water and Sanitation;07: Affordable and Clean Energy;13: Climate Action;15: Life on Land,,AMS-I.E.: Switch from non-renewable biomass for thermal applications by the user,,,,,,
ACR102,Air Bag Gas Substitution,,Nike,ERT,Industrial Gas Substitution,Completed,Not ARB Eligible,Beaverton,OREGON,US,,7984006.0,Emission reductions through industrial gas substitution,,,,,,
ACR103,Inland Empire Anaerobic Ag Digester,,Inland Empire Utilities Agency,Ruby Canyon Environment,Livestock Waste Management,Completed,Not ARB Eligible,Chino,CALIFORNIA,US,,44202.0,Anaerobic Digestion,,,,,,
ACR104,"Ankotrofotsy Community-based Reforestation and Carbon Offset Project, Menabe region, Madagascar",,Tany Meva Foundation,,Forest Carbon,Inactive,Not ARB Eligible,Ankotrofotsy,Miandrivazo,MG,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,AR-ACM0001 Afforestation and Reforestation of Degraded Land,,,,,,
ACR105,Boa Vista A/R,,F.I.T Timber Ltd,SCS Global Services (Scientific Certification Systems),Forest Carbon,Canceled,Not ARB Eligible,Boa Vista,Roraima,BR,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,3674586.0,AR-ACM0001 Afforestation and Reforestation of Degraded Land,,,,,,
ACR106,Brickyard LFG to Energy,,Biogas Energy Solutions,ERT,Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Danville,ILLINOIS,US,,138492.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR107,Camargo Fuel Substitution,,E+Co,CONSOT SRL – SERVICIOS DE CONSULTORIA,Fuel Switching,Completed,Not ARB Eligible,Camargo,Nor Ciniti,BO,,1138.0,Fuel switching from coal and/or petroleum fuels to natural gas in existing Power Plant for electricity generation,,,,,,
ACR108,San Juan National Forest Carbon Demonstration Project,,National Forest Foundation,,Forest Carbon,Canceled,Not ARB Eligible,"Columbine Ranger District, 20 Miles North of Bayfield, CO",COLORADO,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,AR-ACM0001 Afforestation and Reforestation of Degraded Land,,,,,,
ACR109,Chesapeake Mizer Pneumatic Retrofit,,Chesapeake Energy,,Industrial Process Emissions,Completed,Not ARB Eligible,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",OKLAHOMA,US,"07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;13: Climate Action",541804.0,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,,,,,,
ACR110,Chicago LFG to Energy,,Biogas Energy Solutions,ERT,Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Chicago,ILLINOIS,US,,62262.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR111,Devon Mizer Pneumatic Retrofit,,Devon Energy Group,"Det Norske Veritas (U.S.A.), Inc.",Industrial Process Emissions,Completed,Not ARB Eligible,"Oklahoma, Texas, Wyoming",OKLAHOMA,US,"07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;13: Climate Action",5724.0,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,,,,,,
ACR112,Dolton LFG to Energy,,Biogas Energy Solutions,ERT,Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Dolton,ILLINOIS,US,,159336.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR113,Greater New Bedford LFG,,Commonwealth Resource Management Corporation,"First Environment, Inc.",Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Dartmouth,MASSACHUSETTS,US,,713162.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),,"GreenTrees, LLC","Aster Global Environmental Solutions, Inc.",Forest Carbon,Registered,Not ARB Eligible,Mississippi Alluvial Valley,ARKANSAS,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,6270862.0,Afforestation and Reforestation of Degraded Lands,,www.green-trees.com,,,,
ACR115,Lower Mississippi Valley Reforestation,,"Entergy Services, Inc","Environmental Services, Inc.",Forest Carbon,Registered,Not ARB Eligible,"National Wildlife Refuges, Managed by USFWS in the Lower Mississippi Valley",LOUISIANA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,14934.0,AR-ACM0001 Afforestation and Reforestation of Degraded Land,,,,,,
ACR116,Societe VERAMA Madagascar Afforestation Project,,Societe VERAMA,,Forest Carbon,Inactive,Not ARB Eligible,Masiloka Peninsula,Antonibe,MG,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,AR-ACM0001 Afforestation and Reforestation of Degraded Land,,,,,,
ACR117,Merit Energy Geo-Seq,,Blue Source,Ruby Canyon Environment,Carbon Capture & Storage (CCS),Completed,Not ARB Eligible,LaBarge,WYOMING,US,,7308664.0,Emission Reductions from Enhanced Oil Recovery,,,,,,
ACR118,Monell Geo-Seq,,Anadarko,ICF International,Carbon Capture & Storage (CCS),Completed,Not ARB Eligible,Sweetwater County,WYOMING,US,,1748409.0,Emission Reductions from Enhanced Oil Recovery,,,,,,
ACR119,North Country LFG,,Commonwealth Resource Management Corporation,"First Environment, Inc.",Landfill Gas Capture & Combustion,Completed,Not ARB Eligible,Bethlehem,NEW HAMPSHIRE,US,,1592397.0,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",,,,,,
