Project ID,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Name,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Additional Certification/SDGs,ARB Eligible,Account Holder,Retirement Reason,Retirement Reason Details,Date Issued,Retirement Year,ACR Retirement Data,Updated 11-1-23,Total Credits Retired:,26711881
ACR102,2003,ACR-US-102-2003-274-120158095 to 120158156,62,2015-12-29,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,Additional 2015 Retirement,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120158079 to 120158094,16,2015-11-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015 Q3 Bonus Retirement,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120158048 to 120158078,31,2015-10-19,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-9,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120158028 to 120158047,20,2015-10-19,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-8,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120158012 to 120158027,16,2015-09-10,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015 Q1&Q2 Bonus Retirement,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157981 to 120158011,31,2015-09-07,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-7,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157970 to 120157980,11,2015-08-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-6,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157956 to 120157969,14,2015-06-30,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-5,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157932 to 120157955,24,2015-05-20,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-4,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157919 to 120157931,13,2015-04-20,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-3,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157896 to 120157918,23,2015-03-21,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-02,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157890 to 120157895,6,2015-03-21,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2015-01,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157882 to 120157889,8,2015-02-03,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2014-12,2005-10-31 00:00:00,2015,,,,
ACR102,2003,ACR-US-102-2003-274-120157865 to 120157881,17,2014-12-18,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2014-11,2005-10-31 00:00:00,2014,,,,
ACR102,2003,ACR-US-102-2003-274-120157857 to 120157864,8,2014-11-13,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Sustain:Green,Environmental Benefit,2014-10,2005-10-31 00:00:00,2014,,,,
ACR102,2005,ACR-US-102-2005-277-197115601 to 197125600,10000,2014-07-28,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,The Climate Trust,Retail Program Requirements,Donate to Offset program,2006-08-02 00:00:00,2014,,,,
ACR102,2003,ACR-US-102-2003-275-194110606 to 194110987,382,2013-01-14,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,"Carbon Capital Advisors, LLC",Environmental Benefit,To Offset the Carbon Footprint of the 2013 Environment and Clean Energy Inaugural Ball,2006-08-02 00:00:00,2013,,,,
ACR102,2003,ACR-US-102-2003-274-120157839 to 120157856,18,2013-01-14,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,"Carbon Capital Advisors, LLC",Environmental Benefit,To Offset the Carbon Footprint of the 2013 Environment and Clean Energy Inaugural Ball,2005-10-31 00:00:00,2013,,,,
ACR102,2003,ACR-US-102-2003-274-120157549 to 120157838,290,2012-03-09,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Nike+AMP Pilot Program,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155873 to 120155874,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Alexander Schaefer,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155920 to 120155924,5,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155875 to 120155894,20,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155895 to 120155899,5,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155900 to 120155919,20,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155925 to 120155939,15,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155940 to 120155941,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Anonymous,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155942 to 120155961,20,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Barbara H. North,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155962 to 120155965,4,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of George Philippidis,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155966 to 120155970,5,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Janan Apaydin,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155971 to 120155975,5,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Joseph Pancer,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155976 to 120155980,5,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Kate deRiel,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155981 to 120155985,5,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Katherine Wires,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155986 to 120155990,5,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Kathleen Stewart,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155991 to 120155992,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Lucas Baigorria,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155993 to 120155997,5,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Luke Filose,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120155998 to 120156002,5,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Manya Rubinstein,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156003 to 120156004,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Shelby Hansen,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156005 to 120156006,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Silvana Silvestre,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156007 to 120156008,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Tiago Moraes,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156009 to 120156010,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Veronica Theulen,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156011 to 120156012,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Jessica Harrison,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156013 to 120156032,20,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of John Kadyszewski,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156033 to 120156034,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Kathleen Callaghan,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156035 to 120156036,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Kathy McMillion,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156037 to 120156038,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Lars Battle,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156039 to 120156040,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Lauren Nichols,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156041 to 120156045,5,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Laurence Casey,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156046 to 120156047,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Lisa Davis,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156048 to 120156049,2,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Lynne Lindsay,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156050 to 120156054,5,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Marsha Burkhalter,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156055 to 120156058,4,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Mary Bok-Hee Ortiz,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156059 to 120156078,20,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Mary Grady,2005-10-31 00:00:00,2012,,,,
ACR102,2003,ACR-US-102-2003-274-120156079 to 120156278,200,2012-01-05,Air Bag Gas Substitution,Industrial Gas Substitution,Version 1.0,Beaverton,OREGON,US,,No,Nike,On Behalf of Third Party,Retirement on behalf of Mary Harris,2005-10-31 00:00:00,2012,,,,
