Project ID,CARB Issuance ID,OPR Project ID,Project Type,Early Action/ Compliance,Reporting Period Start Date,Reporting Period End Date,Vintage,ARB Offset Credits Issued,Forest Buffer Account Contribution,Issuance Date,Invalidation Timeframe,Date Invalidation Period Reduced,Start of Invalidation Timeframe,Project Name,Project Operator,Verification Body,State,Provides DEBS,"Section 95989(b) Documentation, if applicable",Project Documentation,Retired Buffer Pool,Retired Voluntarily,Retired 1st Compliance Period (CA),Retired 2nd Compliance Period (CA),Retired 3rd Compliance Period (CA),Retired 4th Compliance Period (CA),Retired for Compliance (Quebec),Retired Intentional Reversal,Comments,Vintage remaining,Issuance total from registry,Issuance Year,Registry,ARB Source Data,Updated 11-1-23,Total ARB Credits Issued:,220439110,Total ARB Credits Retired:,163158520
ACR170,CAOD5002-A,ACR170,ODS,COP,2012-03-28,2012-09-23,2012.0,306517,,2013-09-23,3 years,2015-01-13 00:00:00,2012-09-23 00:00:00,ECC ODS Destruction 2012,Environmental Credit Corp.,SCS Engineers,AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=170,,0,134808,171709,0,0,0,0,,0,307729.0,2013.0,ACR,,,,,,
ACR172,CAOD5004-A,ACR172,ODS,COP,2013-03-26,2013-03-31,2013.0,55996,,2013-11-26,8 years,,2013-03-31 00:00:00,EOS ARB ODS 2013-2,"EOS Climate, Inc.","NSF International Strategic Registrations, Ltd.",AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=172,,0,45148,10848,0,0,0,0,,0,55996.0,2013.0,ACR,,,,,,
ACR173,CAFR5028-A,ACR173,Forest,COP,2012-07-29,2013-11-30,2013.0,540828,76257,2015-01-27,3 years,,2013-11-30 00:00:00,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=173,76257.0,0,241164,130493,0,30854,0,0,"On 4/11/2023, CARB retired all 76,257 credits from the buffer pool for the CAFR0070/CAFR5063 uncompensated early project termination (pursuant to section 95983(c)(4)(C)).",138317,454798.0,2015.0,ACR,,,,,,
ACR173,CAFR5028-B,ACR173,Forest,COP,2013-12-01,2014-11-30,2014.0,8356,1179,2017-03-21,3 years,2019-02-12 00:00:00,2014-11-30 00:00:00,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=173,0.0,0,0,0,0,0,0,0,,8356,7177.0,2017.0,ACR,,,,,,
ACR173,CAFR5028-C,ACR173,Forest,COP,2014-12-01,2015-11-30,2015.0,45066,6355,2017-03-21,3 years,2019-02-12 00:00:00,2015-11-30 00:00:00,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=173,0.0,0,0,0,0,0,0,0,,45066,38711.0,2017.0,ACR,,,,,,
ACR173,CAFR5028-D,ACR173,Forest,COP,2015-12-01,2016-11-30,2016.0,3407,481,2019-02-12,8 years,,2016-11-30 00:00:00,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,"Ruby Canyon Engineering, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=173,0.0,0,0,0,0,0,0,0,,3407,2926.0,2019.0,ACR,,,,,,
ACR176,CAOD5013-A,ACR176,ODS,COP,2013-03-18,2013-06-11,2013.0,255227,,2014-02-11,3 years,2015-02-24 00:00:00,2013-06-11 00:00:00,ECC ODS Destruction 2013,Environmental Credit Corp.,SCS Engineers,AR,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=176,,0,226802,27420,62,0,0,0,,943,255227.0,2014.0,ACR,,,,,,
ACR179,CAOD5007-A,ACR179,ODS,COP,2013-06-12,2013-06-17,2013.0,50600,,2013-10-22,3 years,2015-12-22 00:00:00,2013-06-17 00:00:00,Wabashco Clean Sweep 1,"Wabashco, LLC","Ruby Canyon Engineering, Inc.",OH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=179,,0,0,600,50000,0,0,0,,0,50600.0,2013.0,ACR,,,,,,
ACR181,CAOD5015-A,ACR181,ODS,COP,2013-08-30,2013-09-09,2013.0,51864,,2014-02-25,8 years,,2013-09-09 00:00:00,EOS ARB ODS 2013-6,"EOS Climate, Inc.","NSF International Strategic Registrations, Ltd.",AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=181,,0,0,6035,45829,0,0,0,,0,51864.0,2014.0,ACR,,,,,,
ACR182,CAFR5012-(reversal),ACR182,Forest,COP,2015-08-26,2016-08-25,,,,2021-01-26,,,,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.","Ruby Canyon Environmental, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182,,0,0,0,0,0,0,0,"On 1/26/2021, CARB approved the verification of an intentional reversal of 27,150 mtCO2e during the project’s fourth reporting period.  Pursuant to section 95983(c)(3), the forest owners are required to submit 27,150 compliance instruments to CARB for placement in the Retirement Account.",0,,2021.0,ACR,,,,,,
