Project ID,Project Name,Project Developer,Project Type,Project Site State,Project Site Country,Additional Certification(s),Vintage,Deposit Date,Offset Credits Deposited,Offset Credits Released,Offset Credits Retired,Offset Credits Canceled,Offset Credits Canceled for ARB,Buffer Pool Balance,Year Effective,CAR Buffer Data,Updated 11-1-23,Total Buffer Pool:,782813
CAR1004,Finite Carbon - Berry Summit,"Berry Summit, LLC",Improved Forest Management,CA,US,,2013,2013-10-23,45928,0,0,0,45928,0,2013,,,,
CAR1015,Rips Redwoods,"Rips Redwoods, LLC",Improved Forest Management,CA,US,,2018,2020-09-16,826,0,0,0,0,826,2020,,,,
CAR1015,Rips Redwoods,"Rips Redwoods, LLC",Improved Forest Management,CA,US,,2017,2020-09-16,1462,0,0,0,0,1462,2020,,,,
CAR1015,Rips Redwoods,"Rips Redwoods, LLC",Improved Forest Management,CA,US,,2016,2020-09-16,1462,0,0,0,0,1462,2020,,,,
CAR1015,Rips Redwoods,"Rips Redwoods, LLC",Improved Forest Management,CA,US,,2015,2020-09-16,1462,0,0,0,0,1462,2020,,,,
CAR1015,Rips Redwoods,"Rips Redwoods, LLC",Improved Forest Management,CA,US,,2014,2015-12-14,1053,0,0,0,1053,0,2015,,,,
CAR1015,Rips Redwoods,"Rips Redwoods, LLC",Improved Forest Management,CA,US,,2013,2014-10-28,19613,0,0,245,19368,0,2014,,,,
CAR1237,Raven's Nest Nature Preserve,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2022,2022-12-30,12,0,0,0,0,12,2022,,,,
CAR1237,Raven's Nest Nature Preserve,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2021,2022-12-30,24,0,0,0,0,24,2022,,,,
CAR1237,Raven's Nest Nature Preserve,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2020,2020-12-02,12,0,0,0,0,12,2020,,,,
CAR1237,Raven's Nest Nature Preserve,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2020,2022-12-30,12,0,0,0,0,12,2022,,,,
CAR1237,Raven's Nest Nature Preserve,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2019,2020-01-24,12,0,0,0,0,12,2020,,,,
CAR1237,Raven's Nest Nature Preserve,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2019,2020-12-02,12,0,0,0,0,12,2020,,,,
CAR1237,Raven's Nest Nature Preserve,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2018,2020-01-24,12,0,0,0,0,12,2020,,,,
CAR1237,Raven's Nest Nature Preserve,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2018,2018-12-25,12,0,0,0,0,12,2018,,,,
CAR1237,Raven's Nest Nature Preserve,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2017,2018-12-25,24,0,0,0,0,24,2018,,,,
CAR1237,Raven's Nest Nature Preserve,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2016,2018-07-12,24,0,0,0,0,24,2018,,,,
CAR1237,Raven's Nest Nature Preserve,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2015,2018-07-12,1,0,0,0,0,1,2018,,,,
CAR1238,Heartland Ranch Phase 1,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2022,2022-12-30,52,0,0,0,0,52,2022,,,,
CAR1238,Heartland Ranch Phase 1,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2021,2022-12-30,105,0,0,0,0,105,2022,,,,
CAR1238,Heartland Ranch Phase 1,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2020,2020-12-02,52,0,0,0,0,52,2020,,,,
CAR1238,Heartland Ranch Phase 1,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2020,2022-12-30,53,0,0,0,0,53,2022,,,,
CAR1238,Heartland Ranch Phase 1,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2019,2020-01-24,52,0,0,0,0,52,2020,,,,
CAR1238,Heartland Ranch Phase 1,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2019,2020-12-02,53,0,0,0,0,53,2020,,,,
CAR1238,Heartland Ranch Phase 1,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2018,2018-12-25,52,0,0,0,0,52,2018,,,,
CAR1238,Heartland Ranch Phase 1,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2018,2020-01-24,53,0,0,0,0,53,2020,,,,
CAR1238,Heartland Ranch Phase 1,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2017,2018-12-25,106,0,0,0,0,106,2018,,,,
CAR1238,Heartland Ranch Phase 1,Southern Plains Land Trust,Avoided Grassland Conversion,CO,US,,2016,2018-07-12,47,0,0,0,0,47,2018,,,,
CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,"Blue Source, LLC",Avoided Grassland Conversion,MT,US,,2022,2022-11-10,113,0,0,0,0,113,2022,,,,
CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,"Blue Source, LLC",Avoided Grassland Conversion,MT,US,,2021,2021-09-17,113,0,0,0,0,113,2021,,,,
CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,"Blue Source, LLC",Avoided Grassland Conversion,MT,US,,2021,2022-11-10,135,0,0,0,0,135,2022,,,,
CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,"Blue Source, LLC",Avoided Grassland Conversion,MT,US,,2020,2021-09-17,135,0,0,0,0,135,2021,,,,
CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,"Blue Source, LLC",Avoided Grassland Conversion,MT,US,,2020,2020-10-20,114,0,0,0,0,114,2020,,,,
CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,"Blue Source, LLC",Avoided Grassland Conversion,MT,US,,2019,2019-09-27,113,0,0,0,0,113,2019,,,,
CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,"Blue Source, LLC",Avoided Grassland Conversion,MT,US,,2019,2020-10-20,135,0,0,0,0,135,2020,,,,
CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,"Blue Source, LLC",Avoided Grassland Conversion,MT,US,,2018,2019-09-27,135,0,0,0,0,135,2019,,,,
CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,"Blue Source, LLC",Avoided Grassland Conversion,MT,US,,2018,2019-01-18,113,0,0,0,0,113,2019,,,,
CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,"Blue Source, LLC",Avoided Grassland Conversion,MT,US,,2017,2019-01-18,249,0,0,0,0,249,2019,,,,
CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,"Blue Source, LLC",Avoided Grassland Conversion,MT,US,,2016,2019-01-18,135,0,0,0,0,135,2019,,,,
CAR1259,Lightning Creek Ranch,Climate Trust Capital Fund I LP,Avoided Grassland Conversion,OR,US,,2022,2023-08-24,82,0,0,0,0,82,2023,,,,
CAR1259,Lightning Creek Ranch,Climate Trust Capital Fund I LP,Avoided Grassland Conversion,OR,US,,2021,2023-08-24,82,0,0,0,0,82,2023,,,,
CAR1259,Lightning Creek Ranch,Climate Trust Capital Fund I LP,Avoided Grassland Conversion,OR,US,,2020,2022-02-08,82,0,0,0,0,82,2022,,,,
CAR1259,Lightning Creek Ranch,Climate Trust Capital Fund I LP,Avoided Grassland Conversion,OR,US,,2019,2022-02-08,82,0,0,0,0,82,2022,,,,
CAR1259,Lightning Creek Ranch,Climate Trust Capital Fund I LP,Avoided Grassland Conversion,OR,US,,2018,2019-12-17,81,0,0,0,0,81,2019,,,,
CAR1259,Lightning Creek Ranch,Climate Trust Capital Fund I LP,Avoided Grassland Conversion,OR,US,,2017,2019-12-17,62,0,0,0,0,62,2019,,,,
CAR1260,BNW West,Climate Trust Capital Fund I LP,Avoided Grassland Conversion,OR,US,,2022,2023-08-24,29,0,0,0,0,29,2023,,,,
CAR1260,BNW West,Climate Trust Capital Fund I LP,Avoided Grassland Conversion,OR,US,,2021,2023-08-24,29,0,0,0,0,29,2023,,,,
CAR1260,BNW West,Climate Trust Capital Fund I LP,Avoided Grassland Conversion,OR,US,,2020,2022-02-08,29,0,0,0,0,29,2022,,,,
CAR1260,BNW West,Climate Trust Capital Fund I LP,Avoided Grassland Conversion,OR,US,,2019,2022-02-08,29,0,0,0,0,29,2022,,,,
CAR1260,BNW West,Climate Trust Capital Fund I LP,Avoided Grassland Conversion,OR,US,,2018,2019-12-17,29,0,0,0,0,29,2019,,,,
CAR1260,BNW West,Climate Trust Capital Fund I LP,Avoided Grassland Conversion,OR,US,,2017,2019-12-17,19,0,0,0,0,19,2019,,,,
CAR1261,May Ranch Avoided Grassland Conversion,"Ducks Unlimited, Inc.",Avoided Grassland Conversion,CO,US,,2022,2023-09-22,184,0,0,0,0,184,2023,,,,
CAR1261,May Ranch Avoided Grassland Conversion,"Ducks Unlimited, Inc.",Avoided Grassland Conversion,CO,US,,2021,2022-06-21,184,0,0,0,0,184,2022,,,,
CAR1261,May Ranch Avoided Grassland Conversion,"Ducks Unlimited, Inc.",Avoided Grassland Conversion,CO,US,,2020,2021-06-09,184,0,0,0,0,184,2021,,,,
CAR1261,May Ranch Avoided Grassland Conversion,"Ducks Unlimited, Inc.",Avoided Grassland Conversion,CO,US,,2019,2020-05-21,184,0,0,0,0,184,2020,,,,
CAR1261,May Ranch Avoided Grassland Conversion,"Ducks Unlimited, Inc.",Avoided Grassland Conversion,CO,US,,2018,2019-06-04,184,0,0,0,0,184,2019,,,,
CAR1261,May Ranch Avoided Grassland Conversion,"Ducks Unlimited, Inc.",Avoided Grassland Conversion,CO,US,,2017,2018-06-22,183,0,0,0,0,183,2018,,,,
CAR1261,May Ranch Avoided Grassland Conversion,"Ducks Unlimited, Inc.",Avoided Grassland Conversion,CO,US,,2016,2018-06-22,9,0,0,0,0,9,2018,,,,
CAR1262,"Captura de Carbono en San Juan Lachao, Oaxaca",INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,OA,MX,,2020,2021-04-07,554,0,0,0,0,554,2021,,,,
CAR1262,"Captura de Carbono en San Juan Lachao, Oaxaca",INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,OA,MX,,2019,2021-04-07,184,0,0,0,0,184,2021,,,,
CAR1262,"Captura de Carbono en San Juan Lachao, Oaxaca",INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,OA,MX,,2019,2021-04-07,524,0,0,0,0,524,2021,,,,
CAR1262,"Captura de Carbono en San Juan Lachao, Oaxaca",INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,Forestry - MX,OA,MX,,2018,2019-11-19,438,0,0,0,0,438,2019,,,,
