Project ID,Project Name,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Notes,Cancellation Reason,Cancellation Year,Issuance Year,ARB Project,Unnamed: 16,CAR Cancellation Data,Updated 11-1-23,Total Credits Cancelled:,109950929
CAR1000,EOS ARB ODS 2013-5,2013,CAR-ROC-US-1000-132-265-AR-2013-1384-1 to 126155,126155,2014-03-26,Ozone Depleting Substances - U.S. - ARB Compliance,"Compliance Offset Protocol ARB Ozone Depeleting Substances Projects, October 20, 2011",El Dorado,ARKANSAS,US,,ARB,2014,2014,Compliance,CAR1560.2022,,,,
CAR1001,Alliance Dairies,2014,CAR-1-US-1001-5-205-FL-2014-1730-1 to 7810,7810,2015-12-23,Livestock Gas Capture/Combustion,Version 3.0,"Gilchrist County; Trenton, FL",FLORIDA,US,,ARB,2015,2015,Early Action,CAR1662.2022,,,,
CAR1001,Alliance Dairies,2013,CAR-1-US-1001-5-205-FL-2013-1731-1 to 1282,1282,2015-12-23,Livestock Gas Capture/Combustion,Version 3.0,"Gilchrist County; Trenton, FL",FLORIDA,US,,ARB,2015,2015,Early Action,CAR1578.2022,,,,
CAR1002,Ideal Family Farms Digester Project,2022,CAR-ROC-US-1002-105-513-PA-2022-7436-1 to 6653,6653,2023-06-08,Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Beavertown,PENNSYLVANIA,US,,ARB,2023,2023,Compliance,CAR1298.2022,,,,
CAR1002,Ideal Family Farms Digester Project,2021,CAR-ROC-US-1002-105-513-PA-2021-7435-1 to 6080,6080,2023-06-08,Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Beavertown,PENNSYLVANIA,US,,ARB,2023,2023,Compliance,CAR1105.2022,,,,
CAR1002,Ideal Family Farms Digester Project,2020,CAR-ROC-US-1002-105-513-PA-2020-6191-1 to 5171,5171,2021-01-13,Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Beavertown,PENNSYLVANIA,US,,ARB,2021,2020,Compliance,CAR1209.2022,,,,
CAR1002,Ideal Family Farms Digester Project,2019,CAR-ROC-US-1002-105-513-PA-2019-6192-1 to 5676,5676,2021-01-13,Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Beavertown,PENNSYLVANIA,US,,ARB,2021,2020,Compliance,CAR1209.2022,,,,
CAR1002,Ideal Family Farms Digester Project,2018,CAR-ROC-US-1002-105-513-PA-2018-5670-1 to 3715,3715,2019-03-27,Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Beavertown,PENNSYLVANIA,US,,ARB,2019,2019,Compliance,CAR1036.2022,,,,
CAR1002,Ideal Family Farms Digester Project,2017,CAR-ROC-US-1002-105-513-PA-2017-5671-1 to 4397,4397,2019-03-27,Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Beavertown,PENNSYLVANIA,US,,ARB,2019,2019,Compliance,CAR1036.2022,,,,
CAR1002,Ideal Family Farms Digester Project,2016,CAR-ROC-US-1002-105-513-PA-2016-2183-1 to 4832,4832,2017-04-12,Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Beavertown,PENNSYLVANIA,US,,ARB,2017,2017,Compliance,CAR1095.2022,,,,
