Project ID,Project Name,ARB ID,Cooperative/ Aggregate ID,Project Developer,Project Owner,Offset Project Operator,Authorized Project Designee,Verification Body,Project Type,Status,ARB Project Status,Project Site Location,Project Site State,Project Site Country,Additional Certifications,SDG Impact,Project Notes,Total Number of Offset Credits Registered ,Project Listed Date,Project Registered Date,Project Website,CAR Source Data,Updated 11-1-23,Total Projects:,872,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,34
CAR1000,EOS ARB ODS 2013-5,CAOD5009,,EOS Climate Inc.,EOS Climate Inc.,EOS Climate Inc.,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,El Dorado,ARKANSAS,US,,,,126155.0,2013-05-29,2014-02-07,www.eosclimate.com,,,,,,,,,,,,
CAR1001,Alliance Dairies,CALS0109,,"Camco International Group, Inc.","Camco International Group, Inc.","Camco International Group, Inc.",,,Livestock Gas Capture/Combustion,Completed,Not ARB Eligible,"Gilchrist County; Trenton, FL",FLORIDA,US,,,,9092.0,2013-10-16,2015-04-09,,,,,,,,,,,,,
CAR1002,Ideal Family Farms Digester Project,CALS5025,,"Native, a Public Benefit Corporation","Native, a Public Benefit Corporation","JMA Farms, LLC.","NativeEnergy, Inc.",,Livestock - ARB Compliance,Registered,Active ARB Project,Beavertown,PENNSYLVANIA,US,,,,44622.0,2013-09-05,2015-01-31,,,,,,,,,,,,,
CAR1003,DPC Domestic ODS Destruction Project #13,CAOD0062,,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC",none,,Ozone Depleting Substances - U.S.,Completed,Not ARB Eligible,El Dorado,ARKANSAS,US,,,,53490.0,2013-05-31,2013-08-14,www.divpc.com,,,,,,,,,,,,
CAR1004,Finite Carbon - Berry Summit,CAFR0070,,"Berry Summit, LLC","Berry Summit, LLC","Berry Summit, LLC",,,Improved Forest Management,Completed,Not ARB Eligible,Humboldt County,CALIFORNIA,US,,,Transitioned from Early Action to Compliance Offset Protocol (CAR1067),239205.0,2013-06-04,2013-10-23,www.finitecarbon.com,,,,,,,,,,,,
CAR1006,Hilt Forest Carbon Project,,,Fruit Growers Supply Company,21st Century Fox,Fruit Growers Supply Company,,,Improved Forest Management - ARB Compliance,Completed,Inactive,Siskiyou County,CALIFORNIA,US,,,,,2013-07-30,,,,,,,,,,,,,,
CAR1007,Maple Leaf Dairy West,CALS0112,,"Maple Leaf Dairy, Inc","Maple Leaf Dairy, Inc","Maple Leaf Dairy, Inc.",,,Livestock Gas Capture/Combustion,Completed,Not ARB Eligible,"Cleveland, Manitowoc County",WISCONSIN,US,,,,20464.0,2013-07-30,2015-12-17,,,,,,,,,,,,,
CAR1008,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,,,"Washington Beef, LLC","Washington Beef, LLC",,,,Organic Waste Digestion,Registered,Not ARB Eligible,Yakima County,WASHINGTON,US,,,,180198.0,2013-07-18,2014-08-05,,,,,,,,,,,,,
CAR1009,Threemile Canyon Farm Digester Project,,,"TMF Biofuels, LLC","TMF Biofuels, LLC",TMF Biofuels LLC,,,Livestock Gas Capture/Combustion,Completed,Not ARB Eligible,Morrow County: Near Boardman,OREGON,US,,,,107781.0,2013-08-29,2015-12-31,,,,,,,,,,,,,
CAR101,The van Eck Forest,CAFR0049,,Fred M Van Eck Forest Foundation for Purdue University,Fred M Van Eck Forest Foundation for Purdue University,,,,Conservation-Based Forest Management,Transitioned,Not ARB Eligible,Humboldt County,CALIFORNIA,US,,,,520234.0,2007-09-05,2008-12-23,,,,,,,,,,,,,
