Project ID,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Name,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Additional Certification(s) / SDGs,CORSIA Eligible,Account Holder,Retirement Reason,Retirement Reason Details,Retirement Year,CAR Retirement Data,Updated 11-1-23,Total Credits Retired:,61317505
CAR1008,2020,CAR-1-US-1008-27-845-WA-2020-6599-17501 to 19959,2459,2021-12-31,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,"3Degrees Group, Inc",On Behalf of Third Party,,2021,,,,
CAR1008,2019,CAR-1-US-1008-27-845-WA-2019-6108-17501 to 18159,659,2021-12-31,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,"3Degrees Group, Inc",On Behalf of Third Party,,2021,,,,
CAR1008,2017,CAR-1-US-1008-27-845-WA-2017-5554-1 to 11806,11806,2018-09-12,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,The Climate Trust,Compliance Requirements,Retired on behalf of PGE's Carty Facility,2018,,,,
CAR1008,2016,CAR-1-US-1008-27-845-WA-2016-4279-1 to 16249,16249,2017-09-26,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,The Climate Trust,Compliance Requirements,Retired on behalf of PGE's Carty facility,2017,,,,
CAR1008,2015,CAR-1-US-1008-27-845-WA-2015-2010-1 to 8645,8645,2019-10-11,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,Seattle City Light,Environmental Benefit,Applied to EY 2017,2019,,,,
CAR1008,2015,CAR-1-US-1008-27-845-WA-2015-2010-8646 to 18798,10153,2016-05-18,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,The Climate Trust,Compliance Requirements,Retired on behalf of PGE's Carty Facility,2016,,,,
CAR1008,2014,CAR-1-US-1008-27-845-WA-2014-1806-1 to 440,440,2019-10-11,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,Seattle City Light,Environmental Benefit,Applied to EY 2016,2019,,,,
CAR1008,2014,CAR-1-US-1008-27-845-WA-2014-1806-441 to 9641,9201,2018-01-19,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,Seattle City Light,Environmental Benefit,,2018,,,,
CAR1008,2014,CAR-1-US-1008-27-845-WA-2014-1806-9642 to 19980,10339,2019-10-11,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,Seattle City Light,Environmental Benefit,Applied to EY 2016,2019,,,,
CAR1008,2013,CAR-1-US-1008-27-845-WA-2013-1520-1 to 19515,19515,2018-01-19,Washington Beef LLC Greenhouse Gas and Solids Reduction Project,Organic Waste Digestion,Version 2.0,Yakima County,WASHINGTON,US,,No,Seattle City Light,Environmental Benefit,,2018,,,,
