Project ID,Project Name,Total Buffer Contribution,Total Available Buffer,Credits Released,Credits Canceled,Credits on Hold,Country,Methodology,VCS Buffer Data,Updated 11-1-23,Total Buffer Pool:,70262207
VCS1015,"Community-based reforestation project on degraded lands in Uttar Pradesh, India by Indian Farm Forestry Development Co-operative Limited",8669,8669,0,0,0,India,AR-AMS0005,,,,
VCS1052,North Pikounda REDD+,20007,13338,0,0,6669,Congo,VM0011,,,,
VCS1055,Reforesting Degraded Lands in Chile through the use of Mycorrhizal Inoculation,154825,154825,0,0,0,Chile,AR-ACM0003,,,,
VCS1060,Bethlehem Authority Improved Forest Management Project,37219,37219,0,0,0,United States,VM0003,,,,
VCS1067,Reduction of deforestation and degradation in Tambopata National Reserve and Bahuaja-Sonene National Park within the area of Madre de Dios region –Peru,626870,475509,151361,0,0,Peru,VM0007,,,,
VCS1071,Jatropha Agroforestry Senegal,282,141,0,0,141,Senegal,AR-ACM0003,,,,
VCS1085,EcoPlanet Bamboo Central America - Reforestation Project,28791,24473,4318,0,0,Nicaragua,AR-ACM0001,,,,
VCS1094,Ecomapua Amazon REDD Project,641865,193846,448019,0,0,Brazil,VM0015,,,,
VCS1112,The Russas Project,141293,141293,0,0,0,Brazil,VM0007,,,,
VCS1113,The Valparaiso Project,272570,272570,0,0,0,Brazil,VM0007,,,,
VCS1115,JARI/AMAPÁ REDD+ PROJECT,280890,280890,0,0,0,Brazil,VM0015,,,,
VCS1118,Suruí Forest Carbon Project,48366,24183,0,0,24183,Brazil,VM0015,,,,
VCS1122,April Salumei REDD Project,168569,134452,0,0,34117,Papua New Guinea,VM0007; VM0010,,,,
VCS1133,Yacumama Forest Carbon Project,44646,44646,0,0,0,Peru,VM0007,,,,
VCS1141,Fresh Breeze Afforestation Project,168186,168186,0,0,0,Mexico,AR-ACM0003,,,,
VCS1147,Amazon Rio REDD+ IFM,20440,20440,0,0,0,Brazil,VM0011,,,,
VCS1162,Jiangxi Province Le'an County Forest Farm Carbon Sink Project,141721,141721,0,0,0,China,VM0010,,,,
VCS1168,"Kulera Landscape REDD+ Program for Co-Managed Protected Areas, Malawi",355555,355555,0,0,0,Malawi,VM0006,,,,
VCS1175,"AVOIDING PLANNED DEFORESTATION AND DEGRADATION IN THE VALDIVIAN COASTAL RESERVE, CHILE",64868,32434,0,0,32434,Chile,VM0007,,,,
VCS1201,Gola REDD project,222501,222501,0,0,0,Sierra Leone,VM0007,,,,
VCS1202,LOWER ZAMBEZI REDD+ PROJECT,215791,215791,0,0,0,Zambia,VM0009,,,,
VCS1215,The Makira Forest Protected Area in Madagascar,255342,127671,0,0,127671,Madagascar,VM0007,,,,
VCS1218,"Evio Kuiñaji Ese´Eja Cuana, To Mitigate Climate Change, Madre de Dios - Perú",88506,88506,0,0,0,Peru,VM0007,,,,
VCS1225,Kenya Agricultural Carbon Project,36589,36589,0,0,0,Kenya,VM0017,,,,
VCS1233,Reforestation with Rubber on degraded lands of Colombia,23528,23528,0,0,0,Colombia,AR-ACM0003,,,,
VCS1285,New Leaf Carbon Project,12501,6250,0,0,6251,Australia,VM0010,,,,
VCS1311,"Carbon Emissions Reduction Project in the Corridor Ankeniheny-Zahamena (CAZ) Protected Area, Madagascar",46993,23496,0,0,23497,Madagascar,VM0015,,,,
VCS1317,Reforestation Grouped Project at Pratigi Environmental Protection Area,185,185,0,0,0,Brazil,AR-AMS0007,,,,
VCS1318,Livelihoods' mangrove restoration grouped project in Senegal,54897,54897,0,0,0,Senegal,AR-AM0014,,,,
VCS1325,Mjumita Community Forest Project (Lindi),5588,3725,0,0,1863,Tanzania,VM0015,,,,
VCS1326,Laguna Seca Forest Carbon Project,345612,191900,153712,0,0,Belize,VM0007,,,,
VCS1328,Araku Valley Livelihood Project,10711,10711,0,0,0,India,AR-ACM0003,,,,
VCS1329,Maísa REDD+ Project,131600,0,0,0,131600,Brazil,VM0015,,,,
VCS1332,"Reforestation Project in Yingjing County, Sichuan Province",361,180,0,0,181,China,AR-ACM0003,,,,
VCS1340,Bale Mountains Eco-region REDD+ project,1323053,1323053,0,0,0,Ethiopia,VM0015,,,,
VCS1359,Isangi REDD+ Project,308284,308284,0,0,0,"Congo, The Democratic Republic of The",VM0006,,,,
VCS1360,Forest Management to reduce deforestation and degradation in Shipibo Conibo and Cacataibo Indigenous communities of Ucayali region,381132,381132,0,0,0,Peru,VM0015,,,,
VCS1361,Reforestation Project in Qinghai Province 2012,3209,3209,0,0,0,China,AR-ACM0003,,,,
VCS1367,EFM Improved Forest Management Group Project,41896,24685,11263,0,5948,United States,VM0003,,,,
VCS1377,Lock Haven Improved Forest Management Project,12116,12116,0,0,0,United States,VM0003,,,,
VCS1378,"Forestry Project for the Basin of the Chinchina River, an Environmental and Productive Alternative for the City and the Region",56998,28499,0,0,28499,Colombia,AR-ACM0003,,,,
VCS1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",4503981,4503981,0,0,0,Brazil,VM0007,,,,
VCS1389,Acapa -­ Bajo Mira Y Frontera REDD+ Project,112788,112788,0,0,0,Colombia,VM0006,,,,
VCS1390,Carmen del Darién (CDD) REDD+ Project,98252,98252,0,0,0,Colombia,VM0006,,,,
VCS1391,SIVIRÚ-USARAGÁ-PIZARRO-PILIZÁ (SUPP) REDD+ Project,146687,146687,0,0,0,Colombia,VM0006,,,,
VCS1392,Cajambre REDD+ Project,102351,102351,0,0,0,Colombia,VM0006,,,,
VCS1395,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,232723,232723,0,0,0,Colombia,VM0006,,,,
VCS1396,Rio Pepe y ACABA REDD+ Project,81629,81629,0,0,0,Colombia,VM0006,,,,
VCS1399,Mutatá REDD+ Project,63734,63734,0,0,0,Colombia,VM0006,,,,
VCS1400,Concosta REDD+ Project,154179,154179,0,0,0,Colombia,VM0006,,,,
VCS1403,"The Paraguay Forest Conservation Project – Reduction of GHG Emissions from Deforestation and Forest Degradation in the Parana Atlantic Ecosystem – Forest Protection in the La Amistad Community, San Rafael",2026,2026,0,0,0,Paraguay,VM0007,,,,
VCS1408,Chyulu Hills REDD+ Project,662473,662473,0,0,0,Kenya,VM0009,,,,
VCS142,"Reforestation of degraded grasslands in Uchindile & Mapanda, Tanzania",158668,158668,0,0,0,Tanzania,AR-AM0005,,,,
VCS1463,India Sundarbans Mangrove Restoration,74252,74252,0,0,0,India,AR-AM0014,,,,
VCS1468,Northern Kenya Grassland Carbon Project,1238467,1238467,0,0,0,Kenya,VM0032,,,,
VCS1477,Katingan Peatland Restoration and Conservation Project,4216585,3584098,632487,0,0,Indonesia,VM0007,,,,
VCS1493,"Mangrove restoration and coastal greenbelt protection in the East coast of Aceh and North Sumatra Province, Indonesia",48955,48955,0,0,0,Indonesia,AR-AM0014,,,,
VCS1496,Jubilación Segura : Agroforestry And Reforestation With Smallscale Farmers in Peru,17518,17518,0,0,0,Peru,AR-AMS0007,,,,
VCS1503,RESEX Rio Preto-Jacundá REDD+ Project,154063,154063,0,0,0,Brazil,VM0015,,,,
VCS1529,Inner Mongolia Chao’er Improved Forest Management Project,151803,151803,0,0,0,China,VM0010,,,,
VCS1532,COMACO Landscape Management Project,192968,192968,0,0,0,Zambia,VM0015; VM0017,,,,
VCS1538,ECO2 Rubber Forests Guatemala,68157,68157,0,0,0,Guatemala,AR-ACM0003,,,,
VCS1541,Lacandon – Forest for life REDD+ Project,43809,43809,0,0,0,Guatemala,VM0015,,,,
VCS1542,Yunnan Kunming Liangqu Improved Forest Management Project,136175,136175,0,0,0,China,VM0010,,,,
VCS1543,Bosques del Uruguay Afforestation through High Quality Timber in Grasslands Project,11968,11968,0,0,0,Uruguay,AR-ACM0003,,,,
VCS1558,"Agroforestry and forest restoration for ecological connectivity, poverty reduction and biodiversity conservation in Cerro San Gil, Caribbean Guatemala",38649,31016,0,0,7633,Guatemala,AR-ACM0003,,,,
VCS1566,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),4724188,2845250,1878938,0,0,Colombia,VM0007,,,,
VCS1571,Manoa REDD+ Project,187531,187531,0,0,0,Brazil,VM0015,,,,
VCS1577,Fujian Yong’an Improved Forest Management Project,150837,150837,0,0,0,China,VM0010,,,,
VCS1622,REDD+ Project for Caribbean Guatemala: The Conservation Coast,873635,638553,235082,0,0,Guatemala,VM0015,,,,
VCS1650,Reduced Emissions from Deforestation and Degradation in Keo Seima Wildlife Sanctuary,2288670,2288670,0,0,0,Cambodia,VM0015,,,,
VCS1654,Fortaleza Ituxi REDD Project,306674,306674,0,0,0,Brazil,VM0015,,,,
VCS1663,Fazenda Sao Paulo Afforestation,28010,28010,0,0,0,Brazil,AR-ACM0003,,,,
VCS1684,"Mitigation of GHG: Rubber based agro-forestry system for sustainable development and poverty reduction in Pakkading, Bolikhamsay Province, Lao PDR",9234,9234,0,0,0,Lao,AR-ACM0003,,,,
VCS1686,Agrocortex REDD Project,347924,347924,0,0,0,Brazil,VM0015,,,,
VCS1689,Tumring REDD+ Project,72305,72305,0,0,0,Cambodia,VM0009,,,,
VCS1695,PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR,1857,1857,0,0,0,Colombia,VM0015,,,,
VCS1715,Inner Mongolia Wu‘erqihan IFM (conversion of logged to protected forest) Project,308869,308869,0,0,0,China,VM0010,,,,
VCS1718,Inner Mongolia Keyihe IFM (conversion of logged to protected forest) Project,288154,288154,0,0,0,China,VM0010,,,,
VCS1740,Reforestation with Teak  CO2e TEAKMEX,89458,89458,0,0,0,Mexico,AR-ACM0003,,,,
VCS1748,Southern Cardamom REDD+ Project,3093780,3093780,0,0,0,Cambodia,VM0009,,,,
VCS1764,"Reforestation and Restoration of degraded mangrove lands, sustainable livelihood and community development in Myanmar",18428,18428,0,0,0,Myanmar,AR-AM0014,,,,
VCS1769,"Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia",2515,2515,0,0,0,Colombia,VM0005; AR-ACM0003,,,,
VCS1775,Luangwa Community Forests Project,969663,969663,0,0,0,Zambia,VM0009,,,,
VCS1811,Jari/Pará REDD+ Project,111329,111329,0,0,0,Brazil,VM0015,,,,
